overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"11 18, 2015",A2ZBZ74VIW6SDJ,B00W8FYF56,Aaron B.,". . . The ability to destroy a franchise is insignificant next to the power of the PS4.

As a real Star Wars geek and Battlefront II (PS2) veteran, I echo the critics sentiments: EA falls short again.  This game is nothing but online battles with/against vulgar 12-year-olds and ber elitists who take the game way too seriously.  There is no single-player story or campaign mode.  There are no real space battlesthey took the star out of Star Wars.  Its nothing but a lackluster first-person shooter (or a rail shooter for the speeder bikes, which actually aren't too bad).

Sound:
The music doesnt particularly stand out (nor should it), but they did a great job of recording Star Wars music.  I have (and am familiar with) all the film soundtracks, and I appreciate the verisimilitude.  The voice acting is terrible, however.  Princess Leia sounds nothing like the films.  Nor does Vader.  There are so many great Darth Vader voice synthesizers out there, but they couldn't bother.  Just about anybody can do a better Darth Vader impression than whomever they cast.  Admiral Ackbar doesnt sound too bad though.

Graphics:
The graphics are picturesque, which is a pity because this is a video game and not a picture.  As aesthetic as they may be, theres a limited range pop-up, which makes shooting flying vehicles from the ground improbable.  The waypoint markers block your view and are often off-target.  But they did a really good job of making beautiful, screen-accurate locales.

Controls:
The controls are nice and responsive, but the default control scheme is limited and backwards.  Youd expect a version (or at least a variant) of the Star Wars Battlefront II controls, but nope.  They have a few setting to swap buttons, but there aren't many options.  Theres no ability to roll the X-wing, which is integral to any flight simulator.  Its basically a flying snowmobile that gets stuck upside-down a lot.  The Jedi are the same as in Battlefront II, only the Jedi are slower and need to recharge for ten seconds after using the Force, because, you know, that makes sense.

Fun Factor:
This game is an online FPS and nothing more.  Anything the game offers is better found in Call of Duty or Battlefield, whichever camp you find yourself in.  You can try to play it sheerly for the Star Wars brand, but the game will ruin itself for you quickly.  What an incredible disappointment.  We were all hoping for an updated/rebooted Battlefront II after ten years, but EA admitted that a real (non-cloned) game isn't worth its time.  EA earned Consumerists Worst Company in America award (beating tardy airlines and shifty banks) twice for this reason.","""Don't be too proud of this technological terror you've constructed. . . . """,1447804800,75,{'Format:': ' Video Game'},
1.0,True,"02 3, 2012",A1AL9R7KUE049Y,B000VRCNLG,mopar,"Years ago I had an early version of the microsoft combat game and it worked super on a windows 95. i now have a windows 7 with a logitech ext. 3d joystick. I had great hopes when i loaded up this game,boy was I dissapointed when I tried to fly a legendary Mustang. The aircraft couldn't climb and do a loop no matter how fast i was going. It turned like a oil tanker ,and couldn't go very fast even flying straight and level. Then i tried the P-80,it flew no better. A waste of hard earned cash , at least for me it was. mopar",p-51 flys like a brick with a anchor,1328227200,2,,
1.0,False,"11 23, 2008",AF2HX24P7K1FF,B00166R2RQ,Zen*Yogi*Girl,"We got this looking for another game that would work with the Wii Fit board! Its about to be returned!!
I agree with the other reviews  - this game has some serious flaws which affect playability and general fun!
First Wii Cheer had a great idea in allowing you to use one remote in each hand to execute the moves - this game, in contrast,  has you use the remote in one hand and nunchuck in the other. This idea might work if you are a child...a little child, but as the cord between the two is not that long, the moves are either restricted or impossible to perform for an adult or even a child above 8/9!!
Second is the annoying delay - some of the moves you do are recognized too late if at all, the  other times it identifies moves made, that have not actually been performed!! Add to this the need to calibrate the board between each dance set which adds a delay between play  -very fustrating!!
This is a cute idea, but like many Wii games, it seems it may have been rushed to market before the kinks were worked out...its a shame!!",Slowwwwww and flawed!!,1227398400,15,{'Platform:': ' Nintendo Wii'},
1.0,False,"01 17, 2014",A3J0DO0V4959LM,B001C58T46,Amy_Ro,"Bought it, disc didn't work, seller REFUSED to help or refund my money.  I was screwed out of money.  DO NOT BUY!!!  Buy it from Gamestop if you have to.","Bought it, disc didn't work, seller REFUSED to ...",1389916800,,,
1.0,True,"06 27, 2009",ACJHQDET85KJ2,B000BC38LA,J. Akins,"I have a VOODOO top of the line line rig so the problems are not with the PC.IT is in the game. Freezes up,Black screen,blue screen,yellow screen,When turning half the screen goes blank sometimes. Not worth the price or effort. It got to the point that my pc would shut down on the blue screen of death.( The pc closed down to prevent damage )Near the end of the game it just quit loading. The loading bar would freeze about half way so I never got to finish the game. BEWARE THIS GAME COULD DAMAGE YOUR COMPUTER!!!!!!","BUGS,BUGS EVERY WHERE BUGS",1246060800,,,
1.0,False,"05 6, 2006",A2WBNKY07V414Y,B00004U1R2,M. L. Smith,"If you want to see cute cartoon animals acting just like Beavis & ButtHead,then look no further than this disaster of a game. Once a lovable squirrel that fought acorns,poor Conker has been turned into a furry Beavis(or furry ButtHead)and generally staggers through the game,accomplishing absolutely NOTHING.And that's just how you feel when you try to play this piece of garbage-you'll constantly feel that you're not getting anywhere and that you're not accomplishing a single thing. In the game,all you do is get drunk,swear,stagger around,puke and have a hangover-all through the entire game. You'll start to feel like you're in the animal version of Beavis & ButtHead(remember how much Beavis & ButtHead love to swear,do drugs and get drunk?),and you'll start to wonder where the fun and enjoyment is. Unlike ""Conker's Pocket Tales"",there are no goals to accomplish,there is no plot,and there is absolutely NOTHING to do except swear,get drunk,puke and have a hangover. Despite how much people try to get you to believe that ""Conker's Bad Fur Day"" is the greatest game around,you'll learn the truth about this game:That it's just a big promotion for alcohol.

Do yourselvwes a favor and get ""Conker's Pocket Tales"" instead. If you want a REAL M-rated game,then get Grand Theft Auto.",A worthless piece of garbage,1146873600,,,
1.0,False,"05 21, 2003",A2IITV9AEOFI5G,B00005RCQR,thebluedevil,"If you truly and utterly hate someone, then I have a little hint for you.  Buy them this game.  When they play and see the sketchy graphics, the poor backgrounds, and the fact that some of the special moves go through your opponent, they will think the game is defective.  When they go to the game store to exchange it for a real copy, you will laugh with glee as they find that there was no defect, but it was the real game!  Only use this against a bitter enemy however, as this game is an incredible torture that I would wish upon noone.  If that doesn't convince you to run away at the sight of this game, then let me put it this way: Hitler is being forced to play it right now on the 9th level of Hell.",Buy this as a Christmas Present for your enemy,1053475200,2,,
1.0,False,"05 7, 2016",A2MKWD9PM2BE6P,B00ZN5E3AK,Mr. Biggs,"The game is virtually unplayable. It was dubbed ""worst frame rate of all time"" by a professional game reviewer for a good reason. How is it companies are allowed to release broken glitched out games like this one here? We need new laws to prevent this madness from occurring. Seriously, don't buy this. Buy something worth your money, buy something from a company that actually deserves your money.

It's so bad... just awful.",That 7 frames per second is hardcore,1462579200,,{'Format:': ' Video Game'},
1.0,False,"04 2, 2014",A1I350XIZ3Y7RT,B00DBCAT3W,Mass effect lover957,"Lionhead is a dying beast. Fable 2 and 3 were jokes. I thought ""at least they can't mess up the original Fable. It was one of the best games ever made."" Wrong! This game crashes every 15-30 minutes, making it virtually impossible to play. We were promised a fix back in February. Two months later and it's the same crap. Don't waste your time and money on these hacks. Go pick up Kingdoms of Amalur for similar visuals to Fable, or better yet, go pick up an Elder Scrolls game. Or go bang your head against the wall. It's less frustrating.",Crashes! Can't play!,1396396800,2,,
1.0,True,"04 28, 2017",A1HYLS6I3JCIDF,B0002IQD1U,Patrick McGurk,"The game play is stupid, The story is crap, all around a complete waste of time and money....",SUCKED.....,1493337600,,{'Platform:': ' PlayStation2'},
